fill,lumi,nbx,SBIL,SBILerr,HFOCsig,HFOC err,HFOC FOM,HFOCFOMERR
6927,125.796,2544,5.428935321,50.28607316,843.1812102,2.345126878,1.009797857,0.002808535
6929,125.817,974,6.910371168,33.10209192,831.4503183,2.266564824,0.995748884,0.002714449
6929,125.817,974,5.218404756,42.25594442,832.6717447,2.83895655,0.99721167,0.003399948
6931,125.924,2544,6.835771009,46.6852421,830.9076304,2.217894303,0.995098959,0.002656161
6931,125.924,2544,2.060670127,28.35546158,827.9075727,4.225140756,0.991506075,0.005060049
6939,126.44,974,5.788608354,29.79757016,834.9489235,2.265185671,0.999938831,0.002712797
6939,126.44,974,4.94073747,30.65195546,825.5323981,2.642027422,0.988661555,0.003164105
6940,126.518,2544,5.937322533,50.97155323,846.7625725,2.304026097,1.014086913,0.002759313
6940,126.518,2544,3.144259522,33.37309821,828.6065903,3.353558951,0.992343222,0.004016238
6942,126.884,2544,6.513447517,55.1219154,834.4626579,2.371396441,0.999356477,0.002839996
6944,127.367,2544,5.667608232,48.5313065,837.453586,2.250402191,1.002938426,0.002695092
6946,127.491,2544,6.582277466,56.32689944,835.1634621,2.13233079,1.000195763,0.00255369
6953,127.562,2544,6.700612993,67.08516046,851.340696,2.303833995,1.019569696,0.002759083
6953,127.562,2544,2.007677473,31.86684181,828.7754531,4.464402176,0.992545453,0.005346589
6956,128.124,2544,5.871441117,69.76026211,843.6752823,2.55043536,1.01038956,0.003054414
6956,128.124,2544,5.841895696,44.02107852,867.6101791,2.669817629,1.039054107,0.003197386
6957,128.608,2544,5.998785478,48.13724768,835.774867,2.393450404,1.000927984,0.002866408
6960,128.936,2544,6.760546247,59.72345553,843.7970095,2.217782063,1.010535341,0.002656026
6961,129.37,2544,6.626761601,49.87646268,850.5702676,2.362035169,1.018647027,0.002828785
6961,129.37,2544,2.820712092,23.97742535,827.4134263,3.633905671,0.990914283,0.004351983
7005,129.856,612,6.313864079,31.43784915,825.865921,2.560966987,0.989060983,0.003067026
7005,129.856,612,3.864805745,19.73650153,823.1624828,3.346502848,0.985823333,0.004007788
7006,129.962,2400,4.573064032,61.33278801,831.208496,2.61829405,0.995459277,0.003135681
7008,130.128,2544,5.184869467,49.88787075,840.9667424,2.409947971,1.007145799,0.002886165
7013,130.205,2544,6.603769628,66.06975591,841.6148462,2.354085706,1.007921972,0.002819264
7017,130.331,2544,5.687697241,49.68611171,837.9560435,2.463058518,1.003540172,0.002949771
7017,130.331,2544,1.409669109,17.55804549,816.5428436,5.183216485,0.977895621,0.006207445
7018,130.794,2544,5.75399124,62.47982153,837.5984127,2.42423719,1.003111872,0.002903278
7018,130.794,2544,1.390861259,29.40747182,818.2023347,5.061816606,0.979883036,0.006062056
7020,131.275,2544,5.934844558,52.21528852,867.968011,2.343645735,1.039482648,0.002806761
7024,131.604,2544,5.753651487,46.55756025,840.676025,2.526120377,1.006797635,0.003025294
7024,131.604,2544,1.729291211,34.37708225,815.4796905,4.195040918,0.976622384,0.005024001
7026,132.075,2544,6.064192829,58.50068292,844.2456909,2.370522459,1.011072684,0.002838949
7026,132.075,2544,4.948408316,43.78576304,830.887256,2.516790738,0.995074558,0.003014121
7031,132.234,2544,6.440793248,48.67275273,839.3826556,2.298438197,1.005248689,0.002752621
7031,132.234,2544,1.639901273,26.08368283,823.0181233,4.535590168,0.985650447,0.005431845
7033,132.773,2544,4.431220608,38.39248022,846.9500556,2.736573571,1.014311444,0.003277334
7033,132.773,2544,2.298665713,33.87207746,832.611858,4.172639874,0.99713995,0.004997174
7035,133.155,2544,7.988168649,67.30251579,841.6410074,2.298610171,1.007953302,0.002752827
7036,133.201,974,7.110915461,40.26876862,827.5411035,2.168824553,0.99106719,0.002597395
7036,133.201,974,5.70501669,31.69437371,860.7314658,2.981985364,1.030816127,0.00357124
